Doc Name,Bill NO.,Doc URL
"
                                    AN ACT FOR THE ARKANSAS STATE GAME AND FISH COMMISSION APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB157,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=21.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF PARKS, HERITAGE, AND TOURISM - CAPITOL ZONING DISTRICT COMMISSION APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB144,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=22.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE ADMINISTRATIVE OFFICE OF THE COURTS - COURT PERSONNEL APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB135,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=23.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE OFFICE OF THE GOVERNOR - LEGISLATIVE LIAISONS APPROPRIATION FOR THE 2020-2021 FISCAL YEAR.
                                ",SB133,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=24.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE OFFICE OF THE PROSECUTOR COORDINATOR APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB98,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=25.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE OFFICE OF THE GOVERNOR APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB96,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=26.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE AUDITOR OF STATE - OPERATIONS AND UNCLAIMED PROPERTY PROGRAM APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB93,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=27.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF CORRECTIONS - ARKANSAS SENTENCING COMMISSION APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB92,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=28.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE OFFICE OF THE LIEUTENANT GOVERNOR APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB91,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=29.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF CORRECTIONS - PAROLE BOARD APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB79,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=30.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF HEALTH - ARKANSAS MINORITY HEALTH COMMISSION APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB53,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=31.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF HEALTH - ARKANSAS TOBACCO SETTLEMENT COMMISSION APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB52,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=32.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF ENERGY AND ENVIRONMENT - LIQUEFIED PETROLEUM GAS BOARD APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB48,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=33.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF LABOR AND LICENSING - WORKERS' COMPENSATION COMMISSION APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB47,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=34.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF TRANSFORMATION AND SHARED SERVICES - ARKANSAS GEOGRAPHIC INFORMATION SYSTEMS OFFICE APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB46,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=35.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE ARKANSAS ETHICS COMMISSION APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB44,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=36.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF TRANSFORMATION AND SHARED SERVICES - BUILDING AUTHORITY DIVISION APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB36,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=37.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE ARKANSAS SUPREME COURT APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",SB90,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=38.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF AGRICULTURE - ARKANSAS NATURAL RESOURCES COMMISSION APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",HB1178,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=39.pdf&ddBienniumSession=2021%2F2021R
"
                                    AN ACT FOR THE DEPARTMENT OF PUBLIC SAFETY - DIVISION OF EMERGENCY MANAGEMENT APPROPRIATION FOR THE 2021-2022 FISCAL YEAR.
                                ",HB1166,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=40.pdf&ddBienniumSession=2021%2F2021R
